path,extension,size_bytes,lines,last_modified,encoding,component
"utilbase.h","h","8221","230","2026-01-10","utf-8","root"
"test/mocks/AndroidApiMocks.h","h","4742","154","2026-01-10","us-ascii","test"
"test/mocks/AndroidApiMocks.cpp","cpp","5831","177","2026-01-10","us-ascii","test"
"test/include/ContractVerification.h","h","2415","69","2026-01-10","us-ascii","test"
"test/include/TelemetryContract.h","h","3378","102","2026-01-10","us-ascii","test"
"test/tests/StreamTelemetryTest.cpp","cpp","7622","228","2026-01-10","us-ascii","test"
"test/tests/ContractTest.cpp","cpp","2323","67","2026-01-10","us-ascii","test"
"test/tests/FrameBufferRingTest.cpp","cpp","10971","371","2026-01-10","us-ascii","test"
"libuvc/include/utlist.h","h","36984","490","2026-01-10","us-ascii","libuvc"
"libuvc/include/libuvc/libuvc_config.h","h","356","17","2026-01-10","us-ascii","libuvc"
"libuvc/include/libuvc/libuvc.h","h","35604","855","2026-01-10","utf-8","libuvc"
"libuvc/include/libuvc/libuvc_internal_original.h","h","11449","372","2026-01-10","us-ascii","libuvc"
"libuvc/include/libuvc/libuvc_internal.h","h","10798","336","2026-01-10","us-ascii","libuvc"
"libuvc/include/libuvc/libuvc_original.h","h","16096","484","2026-01-10","us-ascii","libuvc"
"libuvc/src/frame-mjpeg.c","c","18032","570","2026-01-10","us-ascii","libuvc"
"libuvc/src/init_original.c","c","5159","162","2026-01-10","us-ascii","libuvc"
"libuvc/src/frame-mjpeg_original.c","c","7316","187","2026-01-10","us-ascii","libuvc"
"libuvc/src/ctrl.c","c","49107","1719","2026-01-10","us-ascii","libuvc"
"libuvc/src/diag.c","c","21425","564","2026-01-10","us-ascii","libuvc"
"libuvc/src/init.c","c","6590","214","2026-01-10","us-ascii","libuvc"
"libuvc/src/stream_original.c","c","32582","1115","2026-01-10","us-ascii","libuvc"
"libuvc/src/frame_original.c","c","11312","370","2026-01-10","us-ascii","libuvc"
"libuvc/src/example.c","c","4039","148","2026-01-10","us-ascii","libuvc"
"libuvc/src/device_original.c","c","37581","1404","2026-01-10","us-ascii","libuvc"
"libuvc/src/device.c","c","51286","1833","2026-01-10","utf-8","libuvc"
"libuvc/src/test.c","c","4315","153","2026-01-10","us-ascii","libuvc"
"libuvc/src/diag_original.c","c","8988","257","2026-01-10","us-ascii","libuvc"
"libuvc/src/frame.c","c","43003","1395","2026-01-10","us-ascii","libuvc"
"libuvc/src/misc.c","c","2043","58","2026-01-10","us-ascii","libuvc"
"libuvc/src/ctrl_original.c","c","11093","469","2026-01-10","us-ascii","libuvc"
"libuvc/src/stream.c","c","63249","1946","2026-01-10","utf-8","libuvc"
"UVCCamera/Parameters.cpp","cpp","12926","394","2026-01-10","utf-8","UVCCamera"
"UVCCamera/FrameBufferJNI.cpp","cpp","35952","894","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/pipeline/DistributePipeline.cpp","cpp","5239","212","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/AbstractBufferedPipeline.cpp","cpp","7957","344","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/CallbackPipeline.h","h","762","27","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/ConvertPipeline.cpp","cpp","5038","218","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/SimpleBufferedPipeline.h","h","684","22","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/CaptureBasePipeline.cpp","cpp","4189","198","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/pipeline_helper.h","h","272","14","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/SQLiteBufferedPipeline.h","h","1464","60","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/pipeline_helper.cpp","cpp","1600","56","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/PublisherPipeline.h","h","989","39","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/CallbackPipeline.cpp","cpp","7528","281","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/IPipeline.cpp","cpp","1517","81","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/ConvertPipeline.h","h","626","26","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/PreviewPipeline.cpp","cpp","9247","326","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/SimpleBufferedPipeline.cpp","cpp","3653","142","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/PublisherPipeline.cpp","cpp","9924","330","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/CaptureBasePipeline.h","h","1274","44","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/AbstractBufferedPipeline.h","h","1882","70","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/IPipeline.h","h","1866","74","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/DistributePipeline.h","h","819","27","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/PreviewPipeline.h","h","564","25","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/pipeline/SQLiteBufferedPipeline.cpp","cpp","13228","470","2026-01-10","us-ascii","UVCCamera/pipeline"
"UVCCamera/LayoutContract.h","h","3539","96","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/UVCReadinessCallback.h","h","1493","54","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/serenegiant_usb_UVCCamera.cpp","cpp","92566","2925","2026-01-10","utf-8","UVCCamera"
"UVCCamera/EGLImageHelperJNI.cpp","cpp","21835","571","2026-01-10","utf-8","UVCCamera"
"UVCCamera/UVCCamera.cpp","cpp","83701","2894","2026-01-10","utf-8","UVCCamera"
"UVCCamera/UVCReadinessCallback.cpp","cpp","3265","117","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/UVCStatusCallback.cpp","cpp","2604","87","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/StreamTelemetry.h","h","28988","712","2026-01-10","utf-8","UVCCamera"
"UVCCamera/UVCCamera.h","h","16383","430","2026-01-10","utf-8","UVCCamera"
"UVCCamera/LayoutContract.cpp","cpp","6094","138","2026-01-10","utf-8","UVCCamera"
"UVCCamera/HandleManager.h","h","15659","371","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/libUVCCamera.h","h","1115","33","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/Parameters.h","h","1324","41","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/UVCPreview.h","h","15737","414","2026-01-10","utf-8","UVCCamera"
"UVCCamera/utilbase.cpp","cpp","1255","43","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/HandleManager.cpp","cpp","1428","40","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/UVCStatusCallback.h","h","983","31","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/UVCButtonCallback.cpp","cpp","2192","85","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/OutputMode.h","h","3758","116","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/UVCPreview.cpp","cpp","101806","3006","2026-01-10","utf-8","UVCCamera"
"UVCCamera/objectarray.h","h","3359","131","2026-01-10","utf-8","UVCCamera"
"UVCCamera/_onload.cpp","cpp","2060","63","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/UVCButtonCallback.h","h","781","31","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/_onload.h","h","1164","42","2026-01-10","us-ascii","UVCCamera"
"UVCCamera/FrameBufferRing.cpp","cpp","36551","1039","2026-01-10","utf-8","UVCCamera"
"UVCCamera/FrameSlotMetadata.h","h","2361","70","2026-01-10","utf-8","UVCCamera"
"UVCCamera/FrameBufferRing.h","h","14369","405","2026-01-10","utf-8","UVCCamera"
"localdefines.h","h","2408","75","2026-01-10","us-ascii","root"
"rapidjson/test/unittest/encodedstreamtest.cpp","cpp","11530","296","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/unittest/filestreamtest.cpp","cpp","3665","122","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/unittest/readertest.cpp","cpp","36442","1012","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/unittest/unittest.h","h","3210","99","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/unittest/jsoncheckertest.cpp","cpp","3619","100","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/unittest/encodingstest.cpp","cpp","18914","432","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/unittest/valuetest.cpp","cpp","35914","1180","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/unittest/writertest.cpp","cpp","8755","308","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/unittest/documenttest.cpp","cpp","7512","236","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/unittest/unittest.cpp","cpp","1388","30","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/perftest/rapidjsontest.cpp","cpp","9352","330","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/perftest/jsoncpptest.cpp","cpp","2366","77","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/perftest/perftest.cpp","cpp","1388","30","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/perftest/yajl_all.c","c","461","22","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/perftest/ultrajsontest.cpp","cpp","3058","84","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/perftest/platformtest.cpp","cpp","4868","172","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/perftest/yajltest.cpp","cpp","6748","208","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/perftest/misctest.cpp","cpp","35872","980","2026-01-10","us-ascii","rapidjson"
"rapidjson/test/perftest/perftest.h","h","4078","133","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/simpledom/simpledom.cpp","cpp","685","29","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/tutorial/tutorial.cpp","cpp","6619","156","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/prettyauto/prettyauto.cpp","cpp","2232","56","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/messagereader/messagereader.cpp","cpp","2661","95","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/simplewriter/simplewriter.cpp","cpp","738","35","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/serialize/serialize.cpp","cpp","3967","149","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/pretty/pretty.cpp","cpp","1006","30","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/condense/condense.cpp","cpp","1002","32","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/simplereader/simplereader.cpp","cpp","1678","38","2026-01-10","us-ascii","rapidjson"
"rapidjson/example/capitalize/capitalize.cpp","cpp","2436","66","2026-01-10","us-ascii","rapidjson"
"rapidjson/include/rapidjson/memorystream.h","h","2836","67","2026-01-10","us-ascii","rapidjson"
"rapidjson/include/rapidjson/reader.h","h","55164","1369","2026-01-10","us-ascii","rapidjson"
"rapidjson/include/rapidjson/prettywriter.h","h","7881","205","2026-01-10","us-ascii","rapidjson"
